0 0 200_ 11111 
38683 39.71 64.61 0 20010530_0
38683 39.71 64.61 0 20010530_12
38683 39.71 64.61 0 20010530_15
38683 39.71 64.61 0 20010530_18
38683 39.71 64.61 0 20010530_21
38683 39.71 64.61 0 20010530_3
38683 39.71 64.61 0 20010530_6
38683 39.71 64.61 0 20010530_9
38683 39.71 64.61 0 20010531_0
38687 39.08 63.59 0 20010530_0
38687 39.08 63.59 0 20010530_12
38687 39.08 63.59 0 20010530_15
38687 39.08 63.59 0 20010530_18
38687 39.08 63.59 0 20010530_21
38687 39.08 63.59 0 20010530_3
38687 39.08 63.59 0 20010530_6
38687 39.08 63.59 0 20010530_9
38687 39.08 63.59 0 20010531_0
38696 39.56 66.94 0 20010530_15
38696 39.56 66.94 0 20010530_18
38696 39.56 66.94 0 20010530_21
38696 39.56 66.94 0 20010530_3
38696 39.56 66.94 0 20010530_6
38696 39.56 66.94 0 20010530_9
38696 39.56 66.94 1000 20010530_0
38696 39.56 66.94 1000 20010530_12
38696 39.56 66.94 1000 20010531_0
38799 38.08 62.79 0 20010530_0
38799 38.08 62.79 0 20010530_12
38799 38.08 62.79 0 20010530_15
38799 38.08 62.79 0 20010530_18
38799 38.08 62.79 0 20010530_21
38799 38.08 62.79 0 20010530_3
38799 38.08 62.79 0 20010530_6
38799 38.08 62.79 0 20010530_9
38799 38.08 62.79 0 20010531_0
38806 38.46 64.36 0 20010530_0
38806 38.46 64.36 0 20010530_12
38806 38.46 64.36 0 20010530_15
38806 38.46 64.36 0 20010530_18
38806 38.46 64.36 0 20010530_21
38806 38.46 64.36 0 20010530_3
38806 38.46 64.36 0 20010530_6
38806 38.46 64.36 0 20010530_9
38806 38.46 64.36 0 20010531_0
38812 38.79 65.71 0 20010530_0
38812 38.79 65.71 0 20010530_12
38812 38.79 65.71 0 20010530_15
38812 38.79 65.71 0 20010530_18
38812 38.79 65.71 0 20010530_21
38812 38.79 65.71 0 20010530_3
38812 38.79 65.71 0 20010530_6
38812 38.79 65.71 0 20010530_9
38812 38.79 65.71 0 20010531_0
38836 38.54 68.78 0 20010530_0
38836 38.54 68.78 0 20010530_12
38836 38.54 68.78 0 20010530_15
38836 38.54 68.78 0 20010530_18
38836 38.54 68.78 0 20010530_21
38836 38.54 68.78 0 20010530_3
38836 38.54 68.78 0 20010530_6
38836 38.54 68.78 0 20010530_9
38836 38.54 68.78 0 20010531_0
38847 38.09 69.31 0 20010530_0
38847 38.09 69.31 0 20010530_12
38847 38.09 69.31 0 20010530_15
38847 38.09 69.31 0 20010530_18
38847 38.09 69.31 0 20010530_21
38847 38.09 69.31 0 20010530_3
38847 38.09 69.31 0 20010530_6
38847 38.09 69.31 0 20010530_9
38847 38.09 69.31 0 20010531_0
38895 37.59 62.18 0 20010530_0
38895 37.59 62.18 0 20010530_12
38895 37.59 62.18 0 20010530_15
38895 37.59 62.18 0 20010530_18
38895 37.59 62.18 0 20010530_21
38895 37.59 62.18 0 20010530_3
38895 37.59 62.18 0 20010530_6
38895 37.59 62.18 0 20010530_9
38895 37.59 62.18 0 20010531_0
38911 37.83 65.19 0 20010530_0
38911 37.83 65.19 0 20010530_12
38911 37.83 65.19 0 20010530_15
38911 37.83 65.19 0 20010530_18
38911 37.83 65.19 0 20010530_21
38911 37.83 65.19 0 20010530_3
38911 37.83 65.19 0 20010530_6
38911 37.83 65.19 0 20010530_9
38911 37.83 65.19 0 20010531_0
38915 37.51 66.01 0 20010530_0
38915 37.51 66.01 0 20010530_12
38915 37.51 66.01 0 20010530_15
38915 37.51 66.01 0 20010530_18
38915 37.51 66.01 0 20010530_21
38915 37.51 66.01 0 20010530_3
38915 37.51 66.01 0 20010530_6
38915 37.51 66.01 0 20010530_9
38915 37.51 66.01 0 20010531_0
38927 37.23 67.26 0 20010530_15
38927 37.23 67.26 0 20010530_18
38927 37.23 67.26 0 20010530_21
38927 37.23 67.26 0 20010530_3
38927 37.23 67.26 0 20010530_6
38927 37.23 67.26 0 20010530_9
38927 37.23 67.26 1000 20010530_0
38927 37.23 67.26 1000 20010530_12
38927 37.23 67.26 1000 20010531_0
38933 37.81 68.78 0 20010530_0
38933 37.81 68.78 0 20010530_12
38933 37.81 68.78 0 20010530_15
38933 37.81 68.78 0 20010530_18
38933 37.81 68.78 0 20010530_21
38933 37.81 68.78 0 20010530_3
38933 37.81 68.78 0 20010530_6
38933 37.81 68.78 0 20010530_9
38933 37.81 68.78 0 20010531_0
38944 37.48 69.38 0 20010530_0
38944 37.48 69.38 0 20010530_12
38944 37.48 69.38 0 20010530_15
38944 37.48 69.38 0 20010530_18
38944 37.48 69.38 0 20010530_21
38944 37.48 69.38 0 20010530_3
38944 37.48 69.38 0 20010530_6
38944 37.48 69.38 0 20010530_9
38944 37.48 69.38 0 20010531_0
38954 37.5 71.5 0 20010530_0
38954 37.5 71.5 0 20010530_12
38954 37.5 71.5 0 20010530_15
38954 37.5 71.5 0 20010530_18
38954 37.5 71.5 0 20010530_21
38954 37.5 71.5 0 20010530_3
38954 37.5 71.5 0 20010530_6
38954 37.5 71.5 0 20010530_9
38954 37.5 71.5 0 20010531_0
38987 35.28 62.34 0 20010530_0
38987 35.28 62.34 0 20010530_12
38987 35.28 62.34 0 20010530_15
38987 35.28 62.34 0 20010530_18
38987 35.28 62.34 0 20010530_21
38987 35.28 62.34 0 20010530_3
38987 35.28 62.34 0 20010530_6
38987 35.28 62.34 0 20010530_9
38987 35.28 62.34 0 20010531_0
40878 27.33 62.33 0 20010530_15
40878 27.33 62.33 0 20010530_21
40878 27.33 62.33 0 20010530_9
40878 27.33 62.33 100 20010530_12
40878 27.33 62.33 100 20010531_0
40878 27.33 62.33 10100 20010530_6
41506 35.84 71.83 10 20010530_15
41506 35.84 71.83 10 20010530_18
41506 35.84 71.83 10 20010530_9
41506 35.84 71.83 10010 20010530_3
41506 35.84 71.83 1010 20010530_12
41506 35.84 71.83 1010 20010531_0
41506 35.84 71.83 110 20010530_0
41506 35.84 71.83 110 20010530_6
41508 35.2 71.84 10 20010530_15
41508 35.2 71.84 10 20010530_9
41508 35.2 71.84 10010 20010530_3
41508 35.2 71.84 1010 20010530_0
41508 35.2 71.84 1010 20010530_12
41508 35.2 71.84 1010 20010531_0
41508 35.2 71.84 110 20010530_6
